dyad,statelno,statelab,dependl,conttype,statehno,statehab,dependh,begin,end,version
2020,2,"USA",3,1,20,"CAN",0,1920,1959,3.1
2031,2,"USA",1044,5,31,"BHM",0,1973,2016,3.1
2040,2,"USA",1087,5,40,"CUB",0,1909,1971,3.1
2040,2,"USA",1087,5,40,"CUB",0,1902,1906,3.1
2040,2,"USA",1044,4,40,"CUB",0,1916,2016,3.1
2041,2,"USA",1044,4,41,"HAI",0,1934,2016,3.1
2042,2,"USA",5,5,42,"DOM",0,1924,2016,3.1
2042,2,"USA",6,4,42,"DOM",0,1898,1916,3.1
2042,2,"USA",6,4,42,"DOM",0,1924,2016,3.1
2051,2,"USA",1044,4,51,"JAM",0,1962,2016,3.1
2051,2,"USA",1087,5,51,"JAM",0,1962,1971,3.1
2054,2,"USA",5,5,54,"DMA",0,1978,2016,3.1
2054,2,"USA",6,5,54,"DMA",0,1978,2016,3.1
2056,2,"USA",5,5,56,"SLU",0,1979,2016,3.1
2057,2,"USA",5,5,57,"SVG",0,1979,2016,3.1
2058,2,"USA",5,5,58,"AAB",0,1981,2016,3.1
2058,2,"USA",6,5,58,"AAB",0,1981,2016,3.1
2060,2,"USA",5,4,60,"SKN",0,1983,2016,3.1
2060,2,"USA",6,5,60,"SKN",0,1983,2016,3.1
2070,2,"USA",1087,5,70,"MEX",0,1863,1971,3.1
2091,2,"USA",1087,4,91,"HON",0,1899,1971,3.1
2093,2,"USA",1088,4,93,"NIC",0,1916,1970,3.1
2093,2,"USA",96,5,93,"NIC",0,1903,1978,3.1
2094,2,"USA",96,5,94,"COS",0,1920,1978,3.1
2094,2,"USA",1088,4,94,"COS",0,1920,1970,3.1
2095,2,"USA",96,1,95,"PAN",0,1920,1978,3.1
2095,2,"USA",1088,5,95,"PAN",0,1920,1970,3.1
2100,2,"USA",1088,4,100,"COL",0,1928,1970,3.1
2100,2,"USA",1087,5,100,"COL",0,1928,1971,3.1
2100,2,"USA",96,5,100,"COL",0,1903,1978,3.1
2101,2,"USA",5,5,101,"VEN",0,1917,2016,3.1
40200,40,"CUB",0,4,200,"UKG",1032,1973,2016,3.1
40200,40,"CUB",0,4,200,"UKG",31,1902,1905,3.1
40200,40,"CUB",0,5,200,"UKG",80,1902,1905,3.1
101200,101,"VEN",0,4,200,"UKG",57,1962,1979,3.1
101200,101,"VEN",0,5,200,"UKG",1061,1956,2016,3.1
55200,55,"GRN",0,5,200,"UKG",54,1974,1977,3.1
100200,100,"COL",0,5,200,"UKG",1063,1871,1955,3.1
52200,52,"TRI",0,4,200,"UKG",54,1962,1977,3.1
53200,53,"BAR",0,4,200,"UKG",57,1966,1979,3.1
52200,52,"TRI",0,4,200,"UKG",55,1962,1973,3.1
42200,42,"DOM",0,5,200,"UKG",1063,1924,1955,3.1
2200,2,"USA",5,4,200,"UKG",1062,1969,2016,3.1
91200,91,"HON",0,5,200,"UKG",1033,1962,2016,3.1
53200,53,"BAR",0,4,200,"UKG",56,1966,1978,3.1
91200,91,"HON",0,5,200,"UKG",50,1958,1961,3.1
2200,2,"USA",6,5,200,"UKG",1055,1898,1957,3.1
140200,140,"BRA",0,1,200,"UKG",110,1826,1965,3.1
91200,91,"HON",0,5,200,"UKG",51,1899,1957,3.1
2200,2,"USA",1044,5,200,"UKG",1033,1962,2016,3.1
53200,53,"BAR",0,5,200,"UKG",54,1966,1977,3.1
2200,2,"USA",1044,5,200,"UKG",31,1916,1972,3.1
101200,101,"VEN",0,5,200,"UKG",59,1841,1870,3.1
54200,54,"DMA",0,4,200,"UKG",59,1978,2016,3.1
2200,2,"USA",840,5,200,"UKG",835,1898,1940,3.1
56200,56,"SLU",0,5,200,"UKG",60,1979,1982,3.1
93200,93,"NIC",0,5,200,"UKG",51,1900,1957,3.1
56200,56,"SLU",0,3,200,"UKG",57,1979,1979,3.1
54200,54,"DMA",0,5,200,"UKG",57,1978,1979,3.1
2200,2,"USA",5,5,200,"UKG",56,1962,1978,3.1
41200,41,"HAI",0,4,200,"UKG",1032,1973,2016,3.1
2200,2,"USA",980,5,200,"UKG",946,1975,1978,3.1
90200,90,"GUA",0,1,200,"UKG",51,1868,1883,3.1
42200,42,"DOM",0,4,200,"UKG",31,1924,1972,3.1
41200,41,"HAI",0,4,200,"UKG",51,1859,1914,3.1
101200,101,"VEN",0,4,200,"UKG",1049,1841,1897,3.1
2200,2,"USA",0,1,200,"UKG",1026,1816,1841,3.1
40200,40,"CUB",0,4,200,"UKG",50,1958,1961,3.1
2200,2,"USA",4,4,200,"UKG",945,1912,1959,3.1
60200,60,"SKN",0,4,200,"UKG",1062,1983,2016,3.1
42200,42,"DOM",0,4,200,"UKG",50,1958,1961,3.1
101200,101,"VEN",0,5,200,"UKG",1075,1841,1881,3.1
42200,42,"DOM",0,5,200,"UKG",51,1924,1957,3.1
2200,2,"USA",5,5,200,"UKG",1055,1917,1957,3.1
70200,70,"MEX",0,5,200,"UKG",51,1831,1861,3.1
20200,20,"CAN",0,1,200,"UKG",21,1933,1948,3.1
101200,101,"VEN",0,4,200,"UKG",59,1956,1958,3.1
100200,100,"COL",0,5,200,"UKG",50,1958,1961,3.1
54200,54,"DMA",0,4,200,"UKG",56,1978,1978,3.1
2200,2,"USA",991,5,200,"UKG",945,1916,1924,3.1
2200,2,"USA",6,4,200,"UKG",60,1962,1968,3.1
155200,155,"CHL",0,5,200,"UKG",1163,1839,2016,3.1
91200,91,"HON",0,4,200,"UKG",80,1899,1980,3.1
54200,54,"DMA",0,5,200,"UKG",1061,1978,2016,3.1
51200,51,"JAM",0,5,200,"UKG",1032,1973,2016,3.1
100200,100,"COL",0,5,200,"UKG",1081,1831,1859,3.1
53200,53,"BAR",0,5,200,"UKG",58,1966,1980,3.1
56200,56,"SLU",0,5,200,"UKG",58,1979,1980,3.1
2200,2,"USA",3,1,200,"UKG",20,1869,1919,3.1
101200,101,"VEN",0,1,200,"UKG",110,1841,1965,3.1
70200,70,"MEX",0,1,200,"UKG",51,1862,1883,3.1
110200,110,"GUY",0,5,200,"UKG",56,1966,1978,3.1
2200,2,"USA",991,5,200,"UKG",925,1900,1919,3.1
2200,2,"USA",1087,5,200,"UKG",51,1863,1957,3.1
60200,60,"SKN",0,4,200,"UKG",1061,1983,2016,3.1
101200,101,"VEN",0,4,200,"UKG",1063,1871,1939,3.1
93200,93,"NIC",0,5,200,"UKG",1033,1962,2016,3.1
60200,60,"SKN",0,4,200,"UKG",59,1983,2016,3.1
40200,40,"CUB",0,5,200,"UKG",80,1909,1980,3.1
2200,2,"USA",9740,4,200,"UKG",945,1960,1974,3.1
101200,101,"VEN",0,4,200,"UKG",58,1962,1980,3.1
57200,57,"SVG",0,5,200,"UKG",59,1979,2016,3.1
101200,101,"VEN",0,4,200,"UKG",60,1962,1982,3.1
41200,41,"HAI",0,4,200,"UKG",31,1934,1972,3.1
2200,2,"USA",9740,4,200,"UKG",946,1975,1978,3.1
58200,58,"AAB",0,4,200,"UKG",1062,1981,2016,3.1
58200,58,"AAB",0,5,200,"UKG",1061,1981,2016,3.1
40200,40,"CUB",0,4,200,"UKG",51,1909,1957,3.1
55200,55,"GRN",0,2,200,"UKG",57,1974,1979,3.1
2200,2,"USA",1044,4,200,"UKG",51,1916,1957,3.1
55200,55,"GRN",0,5,200,"UKG",58,1974,1980,3.1
55200,55,"GRN",0,5,200,"UKG",59,1974,2016,3.1
101200,101,"VEN",0,5,200,"UKG",56,1962,1978,3.1
2200,2,"USA",5,2,200,"UKG",59,1956,1958,3.1
101200,101,"VEN",0,3,200,"UKG",52,1841,1957,3.1
42200,42,"DOM",0,5,200,"UKG",1061,1956,2016,3.1
101200,101,"VEN",0,4,200,"UKG",59,1962,2016,3.1
101200,101,"VEN",0,4,200,"UKG",54,1841,1870,3.1
42200,42,"DOM",0,5,200,"UKG",51,1894,1915,3.1
56200,56,"SLU",0,5,200,"UKG",1061,1979,2016,3.1
93200,93,"NIC",0,5,200,"UKG",50,1958,1961,3.1
2200,2,"USA",5,4,200,"UKG",60,1956,1957,3.1
100200,100,"COL",0,5,200,"UKG",51,1928,1957,3.1
101200,101,"VEN",0,5,200,"UKG",53,1962,1965,3.1
57200,57,"SVG",0,5,200,"UKG",58,1979,1980,3.1
2200,2,"USA",0,4,200,"UKG",31,1865,1973,3.1
2200,2,"USA",840,3,200,"UKG",823,1945,1945,3.1
2200,2,"USA",0,2,200,"UKG",1028,1849,1865,3.1
52200,52,"TRI",0,5,200,"UKG",56,1962,1978,3.1
58200,58,"AAB",0,4,200,"UKG",60,1981,1982,3.1
2200,2,"USA",6,4,200,"UKG",50,1958,1961,3.1
2200,2,"USA",1087,5,200,"UKG",80,1884,1971,3.1
2200,2,"USA",3,1,200,"UKG",1019,1867,1868,3.1
101200,101,"VEN",0,3,200,"UKG",50,1958,1961,3.1
42200,42,"DOM",0,4,200,"UKG",1032,1973,2016,3.1
2200,2,"USA",6,5,200,"UKG",60,1969,1982,3.1
2200,2,"USA",5,4,200,"UKG",60,1962,1982,3.1
2200,2,"USA",5,2,200,"UKG",1063,1917,1955,3.1
53200,53,"BAR",0,4,200,"UKG",55,1966,1973,3.1
101200,101,"VEN",0,4,200,"UKG",60,1956,1957,3.1
2200,2,"USA",6,5,200,"UKG",59,1962,2016,3.1
2200,2,"USA",6,5,200,"UKG",54,1962,1977,3.1
2200,2,"USA",6,5,200,"UKG",58,1956,1957,3.1
41200,41,"HAI",0,5,200,"UKG",1033,1962,2016,3.1
31200,31,"BHM",0,4,200,"UKG",1032,1973,2016,3.1
2200,2,"USA",0,1,200,"UKG",20,1841,1919,3.1
2200,2,"USA",6,4,200,"UKG",1061,1956,2016,3.1
52200,52,"TRI",0,5,200,"UKG",59,1962,2016,3.1
52200,52,"TRI",0,4,200,"UKG",57,1962,1979,3.1
2200,2,"USA",1087,5,200,"UKG",50,1958,1961,3.1
2200,2,"USA",5,5,200,"UKG",57,1962,1979,3.1
2200,2,"USA",6,4,200,"UKG",60,1956,1957,3.1
2200,2,"USA",1044,5,200,"UKG",1032,1973,2016,3.1
52200,52,"TRI",0,5,200,"UKG",110,1962,1965,3.1
42200,42,"DOM",0,5,200,"UKG",60,1962,1982,3.1
2200,2,"USA",6,4,200,"UKG",1062,1969,2016,3.1
42200,42,"DOM",0,5,200,"UKG",60,1956,1957,3.1
2200,2,"USA",0,1,200,"UKG",1023,1816,1867,3.1
70200,70,"MEX",0,5,200,"UKG",1033,1962,2016,3.1
110200,110,"GUY",0,5,200,"UKG",57,1966,1979,3.1
2200,2,"USA",840,3,200,"UKG",823,1898,1941,3.1
2200,2,"USA",6,4,200,"UKG",1063,1898,1955,3.1
2200,2,"USA",5,5,200,"UKG",58,1956,1957,3.1
2200,2,"USA",991,5,200,"UKG",9201,1900,1915,3.1
2200,2,"USA",6,5,200,"UKG",58,1962,1980,3.1
2200,2,"USA",1044,4,200,"UKG",50,1958,1961,3.1
2200,2,"USA",3,1,200,"UKG",1027,1867,1870,3.1
2200,2,"USA",0,4,200,"UKG",1022,1816,1867,3.1
2200,2,"USA",9740,4,200,"UKG",945,1892,1911,3.1
41200,41,"HAI",0,4,200,"UKG",50,1958,1961,3.1
57200,57,"SVG",0,5,200,"UKG",60,1979,1982,3.1
41200,41,"HAI",0,4,200,"UKG",51,1934,1957,3.1
2200,2,"USA",5,5,200,"UKG",59,1962,2016,3.1
2200,2,"USA",1087,5,200,"UKG",1033,1962,1971,3.1
58200,58,"AAB",0,4,200,"UKG",59,1981,2016,3.1
2200,2,"USA",991,5,200,"UKG",955,1900,1969,3.1
101200,101,"VEN",0,4,200,"UKG",55,1962,1973,3.1
101200,101,"VEN",0,5,200,"UKG",1063,1940,1955,3.1
2200,2,"USA",5,5,200,"UKG",54,1962,1977,3.1
101200,101,"VEN",0,4,200,"UKG",1055,1841,1959,3.1
51200,51,"JAM",0,5,200,"UKG",31,1962,1972,3.1
51200,51,"JAM",0,4,200,"UKG",1033,1962,2016,3.1
2200,2,"USA",0,4,200,"UKG",31,1821,1861,3.1
101200,101,"VEN",0,4,200,"UKG",54,1962,1977,3.1
70200,70,"MEX",0,5,200,"UKG",51,1884,1957,3.1
40200,40,"CUB",0,4,200,"UKG",31,1909,1972,3.1
110200,110,"GUY",0,5,200,"UKG",55,1966,1973,3.1
70200,70,"MEX",0,1,200,"UKG",80,1884,1980,3.1
90200,90,"GUA",0,1,200,"UKG",80,1884,1980,3.1
52200,52,"TRI",0,4,200,"UKG",53,1962,1965,3.1
56200,56,"SLU",0,5,200,"UKG",59,1979,2016,3.1
2200,2,"USA",0,1,200,"UKG",1027,1858,1870,3.1
42200,42,"DOM",0,5,200,"UKG",1063,1894,1915,3.1
101200,101,"VEN",0,5,200,"UKG",53,1841,1957,3.1
70200,70,"MEX",0,1,200,"UKG",80,1831,1861,3.1
2200,2,"USA",0,1,200,"UKG",1025,1816,1841,3.1
