dyad,statelno,statelab,statehno,statehab,year,land,sea,total,version
2020,2,"USA",20,"CAN",1920,1,0,1,3.1
2020,2,"USA",20,"CAN",1921,1,0,1,3.1
2020,2,"USA",20,"CAN",1922,1,0,1,3.1
2020,2,"USA",20,"CAN",1923,1,0,1,3.1
2020,2,"USA",20,"CAN",1924,1,0,1,3.1
2020,2,"USA",20,"CAN",1925,1,0,1,3.1
2020,2,"USA",20,"CAN",1926,1,0,1,3.1
2020,2,"USA",20,"CAN",1927,1,0,1,3.1
2020,2,"USA",20,"CAN",1928,1,0,1,3.1
2020,2,"USA",20,"CAN",1929,1,0,1,3.1
2020,2,"USA",20,"CAN",1930,1,0,1,3.1
2020,2,"USA",20,"CAN",1931,1,0,1,3.1
2020,2,"USA",20,"CAN",1932,1,0,1,3.1
2020,2,"USA",20,"CAN",1933,1,0,1,3.1
2020,2,"USA",20,"CAN",1934,1,0,1,3.1
2020,2,"USA",20,"CAN",1935,1,0,1,3.1
2020,2,"USA",20,"CAN",1936,1,0,1,3.1
2020,2,"USA",20,"CAN",1937,1,0,1,3.1
2020,2,"USA",20,"CAN",1938,1,0,1,3.1
2020,2,"USA",20,"CAN",1939,1,0,1,3.1
2020,2,"USA",20,"CAN",1940,1,0,1,3.1
2020,2,"USA",20,"CAN",1941,1,0,1,3.1
2020,2,"USA",20,"CAN",1942,1,0,1,3.1
2020,2,"USA",20,"CAN",1943,1,0,1,3.1
2020,2,"USA",20,"CAN",1944,1,0,1,3.1
2020,2,"USA",20,"CAN",1945,1,0,1,3.1
2020,2,"USA",20,"CAN",1946,1,0,1,3.1
2020,2,"USA",20,"CAN",1947,1,0,1,3.1
2020,2,"USA",20,"CAN",1948,1,0,1,3.1
2020,2,"USA",20,"CAN",1949,1,0,1,3.1
2020,2,"USA",20,"CAN",1950,1,0,1,3.1
2020,2,"USA",20,"CAN",1951,1,0,1,3.1
2020,2,"USA",20,"CAN",1952,1,0,1,3.1
2020,2,"USA",20,"CAN",1953,1,0,1,3.1
2020,2,"USA",20,"CAN",1954,1,0,1,3.1
2020,2,"USA",20,"CAN",1955,1,0,1,3.1
2020,2,"USA",20,"CAN",1956,1,0,1,3.1
2020,2,"USA",20,"CAN",1957,1,0,1,3.1
2020,2,"USA",20,"CAN",1958,1,0,1,3.1
