year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,worldpop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,totalpct,totregpct,version
1945,Africa,"2,074,180","672,337","7,251,492","419,457","4,170,594","14,588,060",0,0,0,"80,487","80,487",0,0,0,0,0,0,"5,051,475","5,051,475",0,0,53,53,0,"137,290","1,536",0,"2,021",0,0,0,831,"9,162,018","7,396","41,833","29,065,604","29,073,000","1,617,000,000",0.0713,0.0231,0.2494,0.0144,0.1435,0.5018,0,0,0,0.0028,0.0028,0,0,0,0,0,0,0.1738,0.1738,0,0,0,0,0,0.0047,0.0001,0,0.0001,0,0,0,0,0.3151,0.0003,0.0014,0.9997,1,0.018,1.1
1945,Asia,"2,407,144","2,222,908","181,928","3,142,204","1,964,907","9,919,091",0,0,0,"30,369","30,369","7,451,998","940,000",0,0,0,0,"27,868,347","36,260,345",0,0,"113,681,431","113,681,431","2,710","5,230,216","12,525","55,228,775","7,243","120,950",0,0,"423,153,390","22,525,760","30,637,661","152,491","666,325,296","663,450,000","1,617,000,000",0.0036,0.0034,0.0003,0.0047,0.003,0.015,0,0,0,0,0,0.0112,0.0014,0,0,0,0,0.042,0.0547,0,0,0.1713,0.1713,0,0.0079,0,0.0832,0,0.0002,0,0,0.6378,0.034,0.0462,0.0002,1.0043,1.0505,0.4103,1.1
1945,Europe,"83,145,512","216,041,422","86,503,645","29,855,595","5,361,826","420,908,000",0,0,0,"6,068,020","6,068,020",0,0,0,0,0,0,"29,353,397","29,353,397",0,0,"725,632","725,632",0,"21,691","1,748",0,"6,231",0,181,0,"5,896","1,294,177","99,829,250","2,535,777","460,920,750","560,750,000","1,617,000,000",0.1483,0.3853,0.1543,0.0532,0.0096,0.7506,0,0,0,0.0108,0.0108,0,0,0,0,0,0,0.0523,0.0523,0,0,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0.0023,0.178,0.0045,0.822,1,0.3468,1.1
1945,Mideast,"87,174","635,929","3,180,260",0,"108,332","4,011,695",0,0,0,"623,240","623,240","41,598,322","18,496,742",0,0,0,0,0,"60,095,064",0,0,0,0,"10,000",0,0,0,0,0,0,0,0,0,561,"478,440","65,218,439","65,219,000","1,617,000,000",0.0013,0.0098,0.0488,0,0.0017,0.0615,0,0,0,0.0096,0.0096,0.6378,0.2836,0,0,0,0,0,0.9214,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0073,1,1,0.0403,1.1
1945,West. Hem,"73,173,575","171,759,439","1,383,846","3,537,777","2,068,807","251,923,444","856,827","1,426,350","1,929,388","994,719","5,207,284",0,0,0,0,0,0,0,0,0,0,"1,830,820","1,830,820",0,0,"5,000",0,0,0,0,0,"5,500,000","228,125","23,011,662","6,648,385","271,343,058","289,375,655","1,617,000,000",0.2529,0.5936,0.0048,0.0122,0.0071,0.8706,0.003,0.0049,0.0067,0.0034,0.018,0,0,0,0,0,0,0,0,0,0,0.0063,0.0063,0,0,0,0,0,0,0,0,0.019,0.0008,0.0795,0.023,0.9377,1.0172,0.179,1.1
1950,Africa,"3,302,860","736,193","7,260,770","609,769","4,884,121","16,793,713",0,0,0,"97,006","97,006",0,0,0,0,0,0,"5,508,523","5,508,523",0,0,194,194,0,"195,524","1,943",0,"3,004",0,0,0,973,"11,084,152","19,918","2,050","33,687,082","33,707,000","2,231,000,000",0.098,0.0218,0.2154,0.0181,0.1449,0.4982,0,0,0,0.0029,0.0029,0,0,0,0,0,0,0.1634,0.1634,0,0,0,0,0,0.0058,0.0001,0,0.0001,0,0,0,0,0.3288,0.0006,0.0001,0.9994,1,0.0151,1.1
1950,Asia,"9,360,004","25,948,053","1,051,829","3,612,715","5,190,796","45,163,397",0,0,0,"54,754","54,754","7,987,175","923,000",0,0,0,0,"180,211,586","189,121,761",0,"14,031,137","144,032,385","158,063,522","114,462","301,106,975","5,910,591","65,452,839","453,734","921,828","1,816,754","2,646,410","425,681,485","76,081,638","69,193,934","499,371","1,273,089,521","1,300,208,016","2,231,000,000",0.0072,0.02,0.0008,0.0028,0.004,0.0347,0,0,0,0,0,0.0061,0.0007,0,0,0,0,0.1386,0.1455,0,0.0108,0.1108,0.1216,0.0001,0.2316,0.0045,0.0503,0.0003,0.0007,0.0014,0.002,0.3274,0.0585,0.0532,0.0004,0.9791,1.0324,0.5828,1.1
1950,Europe,"40,293,475","182,146,023","91,004,796","29,739,026","4,534,844","347,718,164",0,0,0,"5,336,066","5,336,066",0,0,0,0,0,0,"30,109,208","30,109,208",0,0,"759,624","759,624",0,"44,995","10,022",0,"8,041",0,500,0,"9,763","1,238,087","100,773,236","512,294","385,746,764","486,520,000","2,231,000,000",0.0828,0.3744,0.1871,0.0611,0.0093,0.7147,0,0,0,0.011,0.011,0,0,0,0,0,0,0.0619,0.0619,0,0,0.0016,0.0016,0,0.0001,0,0,0,0,0,0,0,0.0025,0.2071,0.0011,0.7929,1,0.2181,1.1
1950,Mideast,"27,091","946,089","4,047,536",0,"93,138","5,113,854","1,090,162","6,607","4,404","529,038","1,630,211","48,934,129","20,021,082",0,0,"387,994",0,"17,600","69,360,805",0,0,0,0,"5,000",0,0,0,"172,960",0,0,0,0,0,0,"1,400,170","77,683,000","77,683,000","2,231,000,000",0.0003,0.0122,0.0521,0,0.0012,0.0658,0.014,0.0001,0.0001,0.0068,0.021,0.6299,0.2577,0,0,0.005,0,0.0002,0.8929,0,0,0,0,0.0001,0,0,0,0.0022,0,0,0,0,0,0,0.018,1,1,0.0348,1.1
1950,West. Hem,"80,317,613","192,159,498","3,245,980","4,346,034","1,621,869","281,690,994","1,114,069","1,853,690","2,524,237","1,088,261","6,580,257",0,0,0,0,0,0,"20,770","20,770",0,0,"188,562","188,562",0,"2,006","10,001",0,"1,000",0,0,0,"6,249,873","450,003","22,938,228","9,732,066","304,925,532","322,455,008","2,231,000,000",0.2491,0.5959,0.0101,0.0135,0.005,0.8736,0.0035,0.0057,0.0078,0.0034,0.0204,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0.0194,0.0014,0.0711,0.0302,0.9456,1.0168,0.1445,1.1
