year,dispnum,incidnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,onset,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1992,3550,3550001,Peru (Northwest [> ADM1]),Centroid of > ADM1,-77.9866,-7.11898,5,1,ArcGIS and GADM,> ADM1,,140242,Northwest Peru,"Piura, Peru",-9.45,-78.3667,3
1992,3551,3551001,Yugoslavia Territorial Waters,Centroid of territorial waters,18.9136,42.0486,3,1,ArcGIS and Marine Regions,Territorial waters,,68755,,petrovac,42.2,18.9167,4
1992,3551,3551002,Unspecified,,,,-99,0,,Location unclear or unspecified,,,.,,,,7
1992,3552,3552001,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,1,ArcGIS and ESRI,> ADM1,,85208,South of the 32d parallel and just north of the 32nd parallel near Iraq's base a,al ja'arah,31.8667,44.4833,4
1992,3552,3552002,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,"No-fly zone, Shi'ite regions of southern IRQ",basra,30.4833,47.8167,3
1992,3552,3552003,"Kuwait City, Kuwait","Kuwait City, Kuwait",47.9774,29.3759,8,0,latlong.net,Capital,,87373,KUW,kuwait city,29.3167,47.9667,5
1992,3552,3552004,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,Southern No-Fly Zone in IRQ,basra,30.4833,47.8167,3
1992,3552,3552005,Iraq (Northern NFZ [> ADM1]),Centroid of Northern NFZ,43.376,36.5531,5,0,ArcGIS and ESRI,> ADM1,,76644,Iraq moved anti-aircraft missiles into the northern flight exclusion zone in Ira,khashabah,36.6333,43.1667,5
1992,3555,3555001,Bosnia-Croatia Border,Midpoint of shared (national) border,15.9539,45.2248,5,1,ArcGIS and cShapes,Point along a line,Ignores enclave,64429,cro-yug Border,mid pt of border,45.14,16.3144,4
1992,3555,3555002,"Neum, Bosnia","Neum, Bosnia",17.6186,42.923,1,0,latlong.net,Precise location text,,68033,Neum on the Adriatic Coast.,neum,42.9333,17.7333,1
1992,3555,3555003,Bosnia-Croatia Border,Midpoint of shared (national) border,15.9539,45.2248,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,64429,Border between Southern Bosnia and Croatia.,metkovi,43.0333,17.6167,4
1992,3555,3555004,Bosnia (Western [> ADM1]),Centroid of > ADM1,16.8978,44.4893,5,0,ArcGIS and GADM,> ADM1,Uses combined ADM2s,65871,Western Bosnia.,livno,43.8167,17,3
1992,3555,3555005,"Trebinje, Bosnia","Trebinje, Bosnia",18.3503,42.7082,2,0,latlong.net,Near,,68034,The Dubrovnik-Trebinje battlefield.,trebinje,42.7333,18.3,1
1992,3555,3555006,Croatia (Osjecko-Baranjska [ADM1] and Vukovarsko-Srijemska [ADM1])-Yugoslavia Border,Midpoint of shared (subnational) border,19.0426,45.3548,5,0,ArcGIS and GADM,Point along a line,,64436,"YUG/CRO border, near Krajina Region in CRO",krajina,45.5667,17.8,4
1992,3555,3555007,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1992,3555,3555008,Croatia-Yugoslavia Border,Midpoint of shared (subnational) border,19.1123,45.2982,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,64436,Eastern CRO border with YUG,nijemci,45.1333,19.0333,4
1992,3555,3555009,"Sitnica, Pod_tirovnik, Bosnia","Sitnica, Pod_tirovnik, Bosnia",18.4462,42.5577,1,0,latlong.net,Precise location text,,68034,"Village of Sitnica, near coastal town of Herceg-Novi, YUG",sitnica,42.55,18.4333,1
