year,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,chrstgen,judorth,jdcons,judref,judothr,judgen,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,islmgen,budmah,budthr,budothr,budgen,zorogen,hindgen,sikhgen,shntgen,bahgen,taogen,jaingen,confgen,syncgen,anmgen,nonrelig,othrgen,sumrelig,pop,worldpop,chrstprotpct,chrstcatpct,chrstorthpct,chrstangpct,chrstothrpct,chrstgenpct,judorthpct,judconspct,judrefpct,judothrpct,judgenpct,islmsunpct,islmshipct,islmibdpct,islmnatpct,islmalwpct,islmahmpct,islmothrpct,islmgenpct,budmahpct,budthrpct,budothrpct,budgenpct,zorogenpct,hindgenpct,sikhgenpct,shntgenpct,bahgenpct,taogenpct,jaingenpct,confgenpct,syncgenpct,anmgenpct,nonreligpct,othrgenpct,sumreligpct,ptctotal,version
1945,"160,887,585","391,332,035","98,501,171","36,955,033","13,674,466","701,350,290","856,827","1,426,350","1,929,388","7,796,835","12,009,400","49,050,320","19,436,742",0,0,0,0,"62,273,219","130,760,281",0,0,"116,237,936","116,237,936","12,710","5,389,197","20,809","55,228,775","15,495","120,950",181,0,"428,660,117","33,210,080","153,486,530","9,856,926","1,636,502,751","1,617,000,000","2,250,000,000",0.1001,0.2434,0.0613,0.023,0.0085,0.4362,0.0005,0.0009,0.0012,0.0048,0.0075,0.0305,0.0121,0,0,0,0,0.0387,0.0813,0,0,0.0723,0.0723,0,0.0034,0,0.0343,0,0.0001,0,0,0.2666,0.0207,0.0955,0.0061,1.012061071,0.718666667,1.1
1950,"133,301,043","401,935,856","106,610,911","38,307,544","16,324,768","696,480,122","2,204,231","1,860,297","2,528,641","7,105,125","13,698,294","56,921,304","20,944,082",0,0,"387,994",0,"215,867,687","294,121,067",0,"14,031,137","144,980,765","159,011,902","119,462","301,349,500","5,932,557","65,452,839","638,739","921,828","1,817,254","2,646,410","431,942,094","88,853,880","192,925,316","12,145,951","2,255,911,264","2,231,000,000","2,780,296,616",0.06,0.181,0.048,0.0173,0.0074,0.3136,0.001,0.0008,0.0011,0.0032,0.0062,0.0256,0.0094,0,0,0.0002,0,0.0972,0.1325,0,0.0063,0.0653,0.0716,0.0001,0.1357,0.0027,0.0295,0.0003,0.0004,0.0008,0.0012,0.1945,0.04,0.0869,0.0055,1.011165963,0.802432369,1.1
1955,"189,347,338","474,378,130","111,661,338","38,177,572","22,437,724","836,002,102","2,496,432","1,653,007","2,225,241","6,611,524","12,986,204","78,882,540","24,256,503",0,0,"445,582",0,"240,487,382","344,072,007",0,"33,522,360","145,861,839","179,384,199","140,762","328,704,605","6,407,617","68,145,114","761,302","1,182,738","1,620,662","2,956,319","385,702,150","93,710,944","304,128,449","21,379,050","2,565,905,174","2,536,000,000","3,039,433,944",0.0747,0.1871,0.044,0.0151,0.0088,0.3297,0.001,0.0007,0.0009,0.0026,0.0051,0.0311,0.0096,0,0,0.0002,0,0.0948,0.1357,0,0.0132,0.0575,0.0707,0.0001,0.1296,0.0025,0.0269,0.0003,0.0005,0.0006,0.0012,0.1521,0.037,0.1199,0.0084,1.011792261,0.834365887,1.1
1960,"220,293,770","541,957,872","118,268,109","41,846,700","44,601,144","966,967,595","2,818,847","1,716,903","2,300,405","6,892,701","13,728,856","104,325,384","27,174,803",0,0,"521,848",0,"303,101,053","435,123,088",0,"16,766,250","183,672,909","200,439,159","170,443","361,169,167","8,088,138","71,357,167","1,278,349","1,357,348","2,031,760","3,593,958","325,016,083","135,768,801","434,629,671","18,904,435","2,960,719,583","2,921,000,000","3,345,409,879",0.0754,0.1856,0.0405,0.0143,0.0153,0.3311,0.001,0.0006,0.0008,0.0024,0.0047,0.0357,0.0093,0,0,0.0002,0,0.1038,0.149,0,0.0057,0.0629,0.0686,0.0001,0.1237,0.0028,0.0244,0.0004,0.0005,0.0007,0.0012,0.1113,0.0465,0.1488,0.0065,1.01359794,0.873136658,1.1
1965,"234,437,703","614,115,021","125,954,494","45,086,639","55,119,929","1,074,713,786","3,295,632","1,760,345","2,348,076","6,849,626","14,253,679","129,192,812","17,097,714","40,000",0,"598,115",0,"367,705,416","514,634,057",0,"18,305,680","194,287,704","212,593,384","148,944","397,863,182","8,895,685","74,982,591","1,658,891","1,704,647","2,341,748","4,441,376","358,844,822","160,893,706","474,097,850","41,159,669","3,302,068,346","3,280,000,000","3,706,601,448",0.0715,0.1873,0.0384,0.0137,0.0168,0.3277,0.001,0.0005,0.0007,0.0021,0.0043,0.0394,0.0052,0,0,0.0002,0,0.1121,0.1569,0,0.0056,0.0592,0.0648,0,0.1213,0.0027,0.0229,0.0005,0.0005,0.0007,0.0014,0.1094,0.0491,0.1446,0.0126,1.006728154,0.884907656,1.1
1970,"247,932,230","671,006,540","134,595,635","46,079,842","76,991,429","1,176,605,676","3,663,721","1,923,986","2,574,798","6,670,904","14,833,409","151,264,004","36,572,141","374,000",0,"700,450",0,"403,431,693","592,342,288",0,"20,862,636","207,939,998","228,802,634","107,671","449,824,489","10,686,632","79,156,350","2,294,978","1,981,266","2,628,762","5,286,931","379,156,729","167,009,224","588,838,181","26,258,961","3,699,555,220","3,655,000,000","4,086,387,665",0.0678,0.1836,0.0368,0.0126,0.0211,0.3219,0.001,0.0005,0.0007,0.0018,0.0041,0.0414,0.01,0.0001,0,0.0002,0,0.1104,0.162,0,0.0057,0.0569,0.0626,0,0.1231,0.0029,0.0217,0.0006,0.0005,0.0007,0.0014,0.1037,0.0457,0.1611,0.0072,1.012190211,0.894433005,1.1
1975,"264,857,729","748,325,898","137,192,284","48,153,338","101,587,361","1,300,116,609","3,910,099","2,253,657","2,910,930","6,839,862","15,914,548","238,953,304","44,373,213","420,500",0,"924,465","2,700","379,000,166","663,674,348",0,"22,929,200","237,395,084","260,324,284","179,084","488,621,807","12,477,870","85,416,548","2,607,053","2,895,296","2,942,380","5,174,923","372,344,153","168,615,279","690,431,832","26,800,685","4,071,736,010","4,023,000,000","4,453,863,820",0.0658,0.186,0.0341,0.012,0.0253,0.3232,0.001,0.0006,0.0007,0.0017,0.004,0.0594,0.011,0.0001,0,0.0002,0,0.0942,0.165,0,0.0057,0.059,0.0647,0,0.1215,0.0031,0.0212,0.0006,0.0007,0.0007,0.0013,0.0926,0.0419,0.1716,0.0067,1.012114345,0.903260666,1.1
1980,"278,962,191","798,834,729","137,902,427","51,093,360","125,285,902","1,392,078,609","4,300,992","2,439,116","3,153,787","6,713,100","16,606,995","277,804,364","50,827,912","668,250",0,"1,148,480","1,584,485","315,105,986","647,139,477",0,"30,400,850","268,001,266","298,402,116","192,461","537,594,394","14,276,856","89,429,228","3,205,049","3,875,752","3,258,083","5,470,087","398,417,206","165,629,178","737,801,266","35,031,049","4,313,376,757","4,413,000,000","4,850,224,998",0.0654,0.1873,0.0323,0.012,0.0294,0.3264,0.001,0.0006,0.0007,0.0016,0.0039,0.0651,0.0119,0.0002,0,0.0003,0.0004,0.0739,0.1517,0,0.0071,0.0628,0.07,0,0.126,0.0033,0.021,0.0008,0.0009,0.0008,0.0013,0.0934,0.0388,0.173,0.0082,0.977425053,0.909854698,1.1
1985,"305,061,321","865,316,946","141,435,053","56,651,880","138,453,851","1,506,919,051","4,580,474","2,466,942","3,320,124","6,415,455","16,782,995","317,788,564","62,653,376","899,500",0,"1,202,490",0,"364,584,661","747,128,591",0,"36,232,325","301,438,364","337,670,689","263,891","601,622,535","14,921,905","92,520,741","3,180,424","4,627,936","3,567,900","1,169,027","435,629,032","166,066,939","788,196,309","36,373,149","4,720,267,965","4,834,000,000","5,277,725,410",0.0653,0.1853,0.0303,0.0121,0.0297,0.3227,0.001,0.0005,0.0007,0.0014,0.0036,0.0681,0.0134,0.0002,0,0.0003,0,0.0781,0.16,0,0.0078,0.0646,0.0723,0.0001,0.1289,0.0032,0.0198,0.0007,0.001,0.0008,0.0003,0.0933,0.0356,0.1688,0.0078,0.976472479,0.915924878,1.1
1990,"391,772,588","928,527,756","147,970,918","63,954,053","162,855,904","1,695,081,219","4,395,315","1,926,083","2,458,253","6,089,896","14,869,547","516,397,560","78,407,673","1,095,087",0,"9,123,315",0,"394,656,683","999,680,318",0,"39,303,150","335,944,605","375,247,755","878,401","659,849,828","19,201,480","94,607,820","5,064,983","5,884,833","3,884,764","1,300,279","469,199,898","182,182,331","838,271,280","36,282,109","5,365,204,736","5,313,000,000","5,687,011,326",0.0737,0.1748,0.0279,0.012,0.0307,0.3191,0.0008,0.0004,0.0005,0.0011,0.0028,0.0972,0.0148,0.0002,0,0.0017,0,0.0743,0.1882,0,0.0074,0.0632,0.0706,0.0002,0.1242,0.0036,0.0178,0.001,0.0011,0.0007,0.0002,0.0883,0.0343,0.1578,0.0068,1.009825849,0.934234116,1.1
